04-26-2023 	 01:17:26 	 24207af7-77dc-41e3-8ccd-ca2ed663da10 	 GET 	 undefined 	 /states 
04-26-2023 	 01:17:26 	 3a6198a1-3608-49b1-a443-090bf49dfae8 	 GET 	 undefined 	 /states 
04-26-2023 	 01:17:26 	 9d2b20c4-3e45-40c0-a3eb-817df4b939fa 	 GET 	 undefined 	 /states 
04-26-2023 	 01:17:26 	 2fb99867-18bc-4c81-8b5c-a5252ce60a5f 	 GET 	 undefined 	 /states 
04-26-2023 	 01:18:05 	 716b3c14-be54-4abd-98e1-457564b1f4fe 	 GET 	 undefined 	 /states 
04-26-2023 	 01:18:22 	 a90e80f9-d539-4ca8-9373-cea1c1a0af6d 	 GET 	 undefined 	 / 
04-26-2023 	 01:18:22 	 3ed358c0-d10c-4a34-b1a5-a2e1acdcf5df 	 GET 	 undefined 	 /css/style.css 
04-26-2023 	 01:18:28 	 29f89215-c50b-46b6-9691-55d1f7ee24b3 	 GET 	 undefined 	 /states 
04-26-2023 	 01:18:40 	 89e331c0-207f-4703-aa0e-90d5da85252a 	 GET 	 undefined 	 /states/AL 
04-26-2023 	 01:19:17 	 ae94bd2b-f7f7-411c-903d-518fb06f28f8 	 GET 	 undefined 	 /states/AL 
04-26-2023 	 01:19:18 	 0858f45a-e617-4e61-be18-8d99c0c4241b 	 GET 	 undefined 	 /states/AL 
04-26-2023 	 01:19:19 	 ddf6c883-a18d-4a7a-aa7a-7a8a620c0dc9 	 GET 	 undefined 	 /states/AL 
04-26-2023 	 01:19:19 	 1492072d-d07f-49a5-aa83-2b380997b300 	 GET 	 undefined 	 /states/AL 
04-26-2023 	 01:19:19 	 44bcc924-1e38-4ee4-a06c-c509f399d959 	 GET 	 undefined 	 /states/AL 
04-26-2023 	 01:22:39 	 12c12c85-a161-4ece-b6e3-dc297098c88c 	 GET 	 undefined 	 /states/AL 
04-26-2023 	 01:22:40 	 24f96f37-10f9-4c9e-abfe-df38d87e19a5 	 GET 	 undefined 	 /states/AL 
04-26-2023 	 01:22:40 	 b489f48e-ec2d-4474-89ec-b2d5440353a8 	 GET 	 undefined 	 /states/AL 
04-26-2023 	 01:24:30 	 e40adafd-5325-4a3d-a61c-d991306ff163 	 GET 	 undefined 	 /states/AL 
04-26-2023 	 01:25:12 	 a7b923ed-0f82-4f28-9bf4-07d1cf3c225c 	 GET 	 undefined 	 /states/AL 
04-26-2023 	 02:32:13 	 487721e9-ff09-451b-96b7-0724c80d641f 	 GET 	 undefined 	 /states 
04-26-2023 	 02:32:13 	 418a529d-765a-4ab3-8c56-4ad619bd1e4e 	 GET 	 undefined 	 /states 
04-26-2023 	 09:39:57 	 77c3c06e-bf15-4c6e-b5d5-192aca2bf3db 	 GET 	 undefined 	 /states/ak 
04-26-2023 	 09:40:59 	 af61b20d-7615-4a1e-b93d-ceba6d4984cb 	 GET 	 undefined 	 /states/ak 
04-26-2023 	 09:41:46 	 d497e7b0-0ef3-4ee3-a442-b7a42c18ecc4 	 GET 	 undefined 	 /states/AK 
04-26-2023 	 09:42:27 	 fe97c034-f9c2-4d1f-8529-6ed72c26c0a3 	 GET 	 undefined 	 /states/AK 
04-26-2023 	 09:48:47 	 7b1254a1-f884-43f6-bb7c-c2531d792bad 	 GET 	 undefined 	 /states/AK 
04-26-2023 	 09:49:15 	 eb21b82a-7b76-4ca8-9af6-31bb5ed6f8c2 	 GET 	 undefined 	 /states/AK 
04-26-2023 	 09:49:47 	 ca5b0a52-d6cf-4ac5-a4ee-bbdc744955db 	 GET 	 undefined 	 /states/AK 
04-26-2023 	 09:49:57 	 024339b1-a9fd-4085-913c-d3becf746e52 	 GET 	 undefined 	 /states/AK 
04-26-2023 	 09:49:57 	 58c5ca29-c813-43d2-8c49-d898c193d3e7 	 GET 	 undefined 	 /states/AK 
04-26-2023 	 09:50:05 	 9b0a69c1-68f8-43b7-b959-fcc64c5123ac 	 GET 	 undefined 	 /states/Ak 
04-26-2023 	 09:56:43 	 93674f4d-caed-404f-82ca-65521c43e131 	 GET 	 undefined 	 /states/ks 
04-26-2023 	 09:57:00 	 3758ca65-3f7b-4e6c-9406-5bec3edc3f0b 	 GET 	 undefined 	 /states/ks 
04-26-2023 	 09:57:05 	 440d38ef-9790-49fa-907b-8fa5c35f875e 	 GET 	 undefined 	 /states/kS 
04-26-2023 	 09:57:10 	 21f09bd7-bfbc-4667-8bd1-8412d5fcd736 	 GET 	 undefined 	 /states/KS 
04-26-2023 	 09:57:29 	 0738d0d5-2161-4b85-84f9-ccda9111057c 	 GET 	 undefined 	 /states/ks 
04-26-2023 	 09:57:34 	 c93540c7-eccd-4920-a55b-94d86de9dd75 	 GET 	 undefined 	 /states/kS 
04-28-2023 	 07:26:00 	 aeca0ac8-e513-47a5-8452-4075b6afc593 	 GET 	 undefined 	 / 
04-28-2023 	 07:26:00 	 80d13e14-6f0b-4261-8e7f-250e1b81aa03 	 GET 	 undefined 	 /css/style.css 
04-28-2023 	 07:26:00 	 d4089172-d837-4d9a-a4ba-1b814e7159e6 	 GET 	 undefined 	 /favicon.ico 
04-28-2023 	 07:26:04 	 ec713c6a-4edc-412a-8aba-5f2c191a76ab 	 GET 	 undefined 	 /states 
04-28-2023 	 07:26:58 	 31bbf518-da23-4bd2-bf69-d1886987fcd7 	 GET 	 undefined 	 /states/ak 
04-28-2023 	 07:38:42 	 389a61c6-560b-42d7-9205-87b40a0870c6 	 GET 	 undefined 	 /states/ak 
04-28-2023 	 07:38:45 	 93a2c0c1-63d4-4a1e-b9a2-fd27f27d113f 	 GET 	 undefined 	 /states/ak 
04-28-2023 	 07:39:14 	 9474b37c-b040-45e0-900d-c4fd4a572138 	 GET 	 undefined 	 /states/ak 
04-28-2023 	 07:42:37 	 da5731c9-e456-48a7-bd1a-70b3fa22477e 	 GET 	 undefined 	 /states/ak 
04-28-2023 	 07:43:03 	 7d1bdc09-8983-46c3-88e7-d1bfe05b3913 	 GET 	 undefined 	 /states/ak 
04-28-2023 	 07:44:05 	 570a3a51-0a18-4710-bef5-e10b0dfb0283 	 GET 	 undefined 	 /states/ak 
04-28-2023 	 07:54:36 	 75ab5309-fdf2-452f-91fb-fb88dfd7d6ad 	 GET 	 undefined 	 /states/ak 
04-28-2023 	 07:58:47 	 69f5d714-d222-4a78-99bd-faffbb795bf6 	 GET 	 undefined 	 /states/?contig=true 
04-28-2023 	 07:59:12 	 b4632663-c9f9-42b1-932a-dc4b1c61f90b 	 GET 	 undefined 	 /states/?contig= 
